window,thr,accuracy,f1_macro
12,0.0002,0.39766810801270736,0.20220473128617886
12,0.0004,0.444548623367455,0.3867795098206978
12,0.0006,0.5565985704200495,0.3355788385382976
12,0.001,0.7440709936463114,0.3110374937155006
24,0.0002,0.40856093363925167,0.36867242142878637
24,0.0004,0.4439364189904695,0.3581642869833545
24,0.0006,0.5564717172608542,0.3195993490686822
24,0.001,0.7451023649841158,0.29483442594127834
36,0.0002,0.4062775767737381,0.30935471529128566
36,0.0004,0.4433462760324744,0.4041975547841137
36,0.0006,0.5563338333921638,0.33407595186517
36,0.001,0.744997573243911,0.29655734288473107
48,0.0002,0.4092062301447229,0.3116327856300651
48,0.0004,0.44288298623367456,0.34270341727364584
48,0.0006,0.5559367278503353,0.3138252225010313
48,0.001,0.744881750794211,0.29760619575679825
60,0.0002,0.40449060183551006,0.38832072666194506
60,0.0004,0.44193434521708436,0.3207247039406229
60,0.0006,0.5543758824567596,0.37043809682257517
60,0.001,0.7441206318390399,0.3237113453884077
